event,toolpath_z_mm,section_z_mm,boundary_pixels,boundary_pixels_beyond_0_5mm_path_margin,uncovered_boundary_percent,candidate_xy_bounds_mm
1,0.2,0.1,176,0,0.0,
2,0.4,0.3,176,0,0.0,
3,0.6,0.5,176,0,0.0,
4,0.8,0.7,176,0,0.0,
5,1.0,0.9,176,0,0.0,
6,1.2,1.1,176,0,0.0,
7,1.4,1.3,176,0,0.0,
8,1.6,1.5,176,0,0.0,
9,1.8,1.7,176,0,0.0,
10,2.0,1.9,176,0,0.0,
11,2.2,2.1,60,0,0.0,
12,2.4,2.3,60,0,0.0,
13,2.6,2.5,60,0,0.0,
14,2.8,2.7,60,0,0.0,
15,3.0,2.9,60,0,0.0,
16,3.2,3.1,60,0,0.0,
17,3.4,3.3,60,0,0.0,
18,3.6,3.5,60,0,0.0,
19,3.8,3.7,60,0,0.0,
20,4.0,3.9,60,0,0.0,
21,4.2,4.1,60,0,0.0,
22,4.4,4.3,60,0,0.0,
23,4.6,4.5,60,0,0.0,
24,4.8,4.7,60,0,0.0,
25,5.0,4.9,60,0,0.0,
26,5.2,5.1,60,0,0.0,
27,5.4,5.3,60,0,0.0,
28,5.6,5.5,60,0,0.0,
29,5.8,5.7,60,0,0.0,
30,6.0,5.9,60,0,0.0,
31,6.2,6.1,60,0,0.0,
32,6.4,6.3,60,0,0.0,
