event,toolpath_z_mm,section_z_mm,boundary_pixels,boundary_pixels_beyond_0_5mm_path_margin,uncovered_boundary_percent,candidate_xy_bounds_mm
1,0.2,0.1,3622,0,0.0,
2,0.4,0.3,3622,0,0.0,
4,0.6,0.5,3622,0,0.0,
6,0.8,0.7,3622,0,0.0,
8,1.0,0.9,3622,0,0.0,
9,1.2,1.1,3622,0,0.0,
11,1.4,1.3,3622,0,0.0,
13,1.6,1.5,3622,0,0.0,
15,1.8,1.7,3622,0,0.0,
16,2.0,1.9,3622,0,0.0,
18,2.2,2.1,3622,0,0.0,
20,2.4,2.3,3622,0,0.0,
22,2.6,2.5,5084,0,0.0,
23,2.8,2.7,5084,0,0.0,
24,3.0,2.9,5084,0,0.0,
26,3.2,3.1,4776,0,0.0,
28,3.4,3.3,4776,0,0.0,
29,3.6,3.5,4776,0,0.0,
31,3.8,3.7,4776,0,0.0,
33,4.0,3.9,4776,0,0.0,
35,4.2,4.1,4776,0,0.0,
36,4.4,4.3,4776,0,0.0,
38,4.6,4.5,4776,0,0.0,
40,4.8,4.7,4776,0,0.0,
41,5.0,4.9,4776,0,0.0,
43,5.2,5.1,4776,0,0.0,
45,5.4,5.3,4776,0,0.0,
47,5.6,5.5,4776,0,0.0,
48,5.8,5.7,4776,0,0.0,
50,6.0,5.9,4776,0,0.0,
52,6.2,6.1,4776,0,0.0,
53,6.4,6.3,4776,0,0.0,
55,6.6,6.5,4776,0,0.0,
57,6.8,6.7,4776,0,0.0,
59,7.0,6.9,4776,0,0.0,
60,7.2,7.1,4776,0,0.0,
62,7.4,7.3,4776,0,0.0,
64,7.6,7.5,4776,0,0.0,
65,7.8,7.7,4776,0,0.0,
67,8.0,7.9,4772,0,0.0,
69,8.2,8.1,4772,0,0.0,
71,8.4,8.3,4772,0,0.0,
72,8.6,8.5,4772,0,0.0,
74,8.8,8.7,4772,0,0.0,
76,9.0,8.9,4772,0,0.0,
78,9.2,9.1,4772,0,0.0,
79,9.4,9.3,4772,0,0.0,
81,9.6,9.5,4772,0,0.0,
83,9.8,9.7,4772,0,0.0,
84,10.0,9.9,4772,0,0.0,
86,10.2,10.1,4772,0,0.0,
88,10.4,10.3,4772,0,0.0,
90,10.6,10.5,4772,0,0.0,
91,10.8,10.7,4772,0,0.0,
93,11.0,10.9,4772,0,0.0,
95,11.2,11.1,4772,0,0.0,
96,11.4,11.3,4772,0,0.0,
98,11.6,11.5,4772,0,0.0,
100,11.8,11.7,4772,0,0.0,
102,12.0,11.9,4772,0,0.0,
103,12.2,12.1,4772,0,0.0,
105,12.4,12.3,4772,0,0.0,
107,12.6,12.5,4772,0,0.0,
108,12.8,12.7,4772,0,0.0,
110,13.0,12.9,4772,0,0.0,
112,13.2,13.1,4772,0,0.0,
114,13.4,13.3,4772,0,0.0,
