event,toolpath_z_mm,section_z_mm,boundary_pixels,boundary_pixels_beyond_0_5mm_path_margin,uncovered_boundary_percent,candidate_xy_bounds_mm
1,0.2,0.1,178,0,0.0,
2,0.4,0.3,178,0,0.0,
3,0.6,0.5,178,0,0.0,
4,0.8,0.7,178,0,0.0,
5,1.0,0.9,428,0,0.0,
6,1.2,1.1,428,0,0.0,
7,1.4,1.3,428,0,0.0,
8,1.6,1.5,428,0,0.0,
9,1.8,1.7,428,0,0.0,
10,2.0,1.9,428,0,0.0,
11,2.2,2.1,418,0,0.0,
12,2.4,2.3,418,0,0.0,
13,2.6,2.5,418,0,0.0,
14,2.8,2.7,418,0,0.0,
15,3.0,2.9,126,0,0.0,
16,3.2,3.1,126,0,0.0,
17,3.4,3.3,126,0,0.0,
19,3.6,3.5,126,0,0.0,
21,3.8,3.7,126,0,0.0,
22,4.0,3.9,126,0,0.0,
23,4.2,4.1,126,0,0.0,
25,4.4,4.3,126,0,0.0,
27,4.6,4.5,126,0,0.0,
28,4.8,4.7,126,0,0.0,
29,5.0,4.9,126,0,0.0,
31,5.2,5.1,126,0,0.0,
33,5.4,5.3,126,0,0.0,
34,5.6,5.5,126,0,0.0,
35,5.8,5.7,126,0,0.0,
36,6.0,5.9,110,0,0.0,
37,6.2,6.1,110,0,0.0,
38,6.4,6.3,110,0,0.0,
39,6.6,6.5,110,0,0.0,
40,6.8,6.7,110,0,0.0,
41,7.0,6.9,110,0,0.0,
42,7.2,7.1,110,0,0.0,
43,7.4,7.3,110,0,0.0,
44,7.6,7.5,110,0,0.0,
45,7.8,7.7,110,0,0.0,
46,8.0,7.9,94,0,0.0,
47,8.2,8.1,94,0,0.0,
