source,target,temperature_C,finished_height_mm,plating_um,geometry_case,full_item_path_ohm,mV_per_A,mW_per_A_squared
C105.1,U101.15,20,1.44,20,native_nominal,0.05790890799478702,57.90890799478702,57.90890799478702
C105.1,U101.15,20,1.44,20,width_minus_25um_copper_80pct,0.07632514678611646,76.32514678611646,76.32514678611646
C105.1,U101.15,20,1.6,20,native_nominal,0.058218259700144874,58.21825970014488,58.21825970014488
C105.1,U101.15,20,1.6,20,width_minus_25um_copper_80pct,0.07663449849147433,76.63449849147433,76.63449849147433
C105.1,U101.15,20,1.76,20,native_nominal,0.05852761140550272,58.527611405502725,58.527611405502725
C105.1,U101.15,20,1.76,20,width_minus_25um_copper_80pct,0.07694385019683217,76.94385019683217,76.94385019683217
C105.1,U101.15,20,1.44,25,native_nominal,0.057308783313270585,57.30878331327059,57.30878331327059
C105.1,U101.15,20,1.44,25,width_minus_25um_copper_80pct,0.07572502210460004,75.72502210460004,75.72502210460004
C105.1,U101.15,20,1.6,25,native_nominal,0.05755145449845994,57.55145449845994,57.55145449845994
C105.1,U101.15,20,1.6,25,width_minus_25um_copper_80pct,0.0759676932897894,75.96769328978941,75.96769328978941
C105.1,U101.15,20,1.76,25,native_nominal,0.057794125683649306,57.794125683649305,57.794125683649305
C105.1,U101.15,20,1.76,25,width_minus_25um_copper_80pct,0.07621036447497875,76.21036447497875,76.21036447497875
C105.1,U101.15,60,1.44,20,native_nominal,0.06701218833156752,67.01218833156753,67.01218833156753
C105.1,U101.15,60,1.44,20,width_minus_25um_copper_80pct,0.08832345986089396,88.32345986089396,88.32345986089396
C105.1,U101.15,60,1.6,20,native_nominal,0.06737017012500764,67.37017012500763,67.37017012500763
C105.1,U101.15,60,1.6,20,width_minus_25um_copper_80pct,0.08868144165433407,88.68144165433408,88.68144165433408
C105.1,U101.15,60,1.76,20,native_nominal,0.06772815191844773,67.72815191844774,67.72815191844774
C105.1,U101.15,60,1.76,20,width_minus_25um_copper_80pct,0.08903942344777419,89.03942344777418,89.03942344777418
C105.1,U101.15,60,1.44,25,native_nominal,0.06631772405011671,66.31772405011671,66.31772405011671
C105.1,U101.15,60,1.44,25,width_minus_25um_copper_80pct,0.08762899557944315,87.62899557944314,87.62899557944314
C105.1,U101.15,60,1.6,25,native_nominal,0.06659854314561785,66.59854314561785,66.59854314561785
C105.1,U101.15,60,1.6,25,width_minus_25um_copper_80pct,0.08790981467494428,87.90981467494429,87.90981467494429
C105.1,U101.15,60,1.76,25,native_nominal,0.06687936224111896,66.87936224111895,66.87936224111895
C105.1,U101.15,60,1.76,25,width_minus_25um_copper_80pct,0.08819063377044539,88.19063377044539,88.19063377044539
C105.1,U101.15,85,1.44,20,native_nominal,0.07270173854205535,72.70173854205535,72.70173854205535
C105.1,U101.15,85,1.44,20,width_minus_25um_copper_80pct,0.09582240553262991,95.82240553262992,95.82240553262992
