event,toolpath_z_mm,section_z_mm,boundary_pixels,boundary_pixels_beyond_0_5mm_path_margin,uncovered_boundary_percent,candidate_xy_bounds_mm
1,0.2,0.1,1088,0,0.0,
2,0.4,0.3,1088,0,0.0,
3,0.6,0.5,1088,0,0.0,
4,0.8,0.7,1088,0,0.0,
5,1.0,0.9,1088,0,0.0,
6,1.2,1.1,1088,0,0.0,
7,1.4,1.3,1088,0,0.0,
8,1.6,1.5,1088,0,0.0,
9,1.8,1.7,1088,0,0.0,
10,2.0,1.9,1088,0,0.0,
11,2.2,2.1,56,0,0.0,
12,2.4,2.3,56,0,0.0,
13,2.6,2.5,56,0,0.0,
14,2.8,2.7,56,0,0.0,
15,3.0,2.9,56,0,0.0,
16,3.2,3.1,56,0,0.0,
17,3.4,3.3,56,0,0.0,
18,3.6,3.5,56,0,0.0,
19,3.8,3.7,56,0,0.0,
20,4.0,3.9,56,0,0.0,
21,4.2,4.1,56,0,0.0,
22,4.4,4.3,56,0,0.0,
23,4.6,4.5,56,0,0.0,
24,4.8,4.7,56,0,0.0,
25,5.0,4.9,56,0,0.0,
26,5.2,5.1,56,0,0.0,
27,5.4,5.3,56,0,0.0,
28,5.6,5.5,56,0,0.0,
29,5.8,5.7,56,0,0.0,
30,6.0,5.9,56,0,0.0,
31,6.2,6.1,56,0,0.0,
32,6.4,6.3,56,0,0.0,
33,6.6,6.5,56,0,0.0,
34,6.8,6.7,56,0,0.0,
35,7.0,6.9,56,0,0.0,
36,7.2,7.1,56,0,0.0,
37,7.4,7.3,56,0,0.0,
38,7.6,7.5,56,0,0.0,
39,7.8,7.7,56,0,0.0,
40,8.0,7.9,56,0,0.0,
41,8.2,8.1,56,0,0.0,
42,8.4,8.3,56,0,0.0,
43,8.6,8.5,56,0,0.0,
44,8.8,8.7,56,0,0.0,
45,9.0,8.9,56,0,0.0,
46,9.2,9.1,56,0,0.0,
47,9.4,9.3,56,0,0.0,
48,9.6,9.5,56,0,0.0,
49,9.8,9.7,56,0,0.0,
50,10.0,9.9,56,0,0.0,
51,10.2,10.1,56,0,0.0,
52,10.4,10.3,56,0,0.0,
53,10.6,10.5,56,0,0.0,
54,10.8,10.7,56,0,0.0,
