length_mm,temperature_C,hypothetical_contact_resistance_per_end_ohm,current_5V_A,current_each_supply_A,current_each_ground_A,wire_resistance_ohm,loop_resistance_ohm,loop_drop_mV,loop_heating_W,evidence_class
101.6,20,0,0.5,0.25,0.16666666666666666,0.02273333333333333,0.01894444444444444,9.47222222222222,0.00473611111111111,conditional arithmetic; not guaranteed bound
101.6,20,0,1,0.5,0.3333333333333333,0.02273333333333333,0.01894444444444444,18.94444444444444,0.01894444444444444,conditional arithmetic; not guaranteed bound
101.6,20,0,1.5,0.75,0.5,0.02273333333333333,0.01894444444444444,28.41666666666666,0.04262499999999999,conditional arithmetic; not guaranteed bound
101.6,20,0,2,1.0,0.6666666666666666,0.02273333333333333,0.01894444444444444,37.88888888888888,0.07577777777777776,conditional arithmetic; not guaranteed bound
101.6,20,0.02,0.5,0.25,0.16666666666666666,0.02273333333333333,0.05227777777777778,26.13888888888889,0.013069444444444444,conditional arithmetic; not guaranteed bound
101.6,20,0.02,1,0.5,0.3333333333333333,0.02273333333333333,0.05227777777777778,52.27777777777778,0.05227777777777778,conditional arithmetic; not guaranteed bound
101.6,20,0.02,1.5,0.75,0.5,0.02273333333333333,0.05227777777777778,78.41666666666667,0.117625,conditional arithmetic; not guaranteed bound
101.6,20,0.02,2,1.0,0.6666666666666666,0.02273333333333333,0.05227777777777778,104.55555555555556,0.2091111111111111,conditional arithmetic; not guaranteed bound
101.6,60,0,0.5,0.25,0.16666666666666666,0.02630701333333333,0.021922511111111105,10.961255555555553,0.005480627777777776,conditional arithmetic; not guaranteed bound
101.6,60,0,1,0.5,0.3333333333333333,0.02630701333333333,0.021922511111111105,21.922511111111106,0.021922511111111105,conditional arithmetic; not guaranteed bound
101.6,60,0,1.5,0.75,0.5,0.02630701333333333,0.021922511111111105,32.88376666666666,0.049325649999999985,conditional arithmetic; not guaranteed bound
101.6,60,0,2,1.0,0.6666666666666666,0.02630701333333333,0.021922511111111105,43.84502222222221,0.08769004444444442,conditional arithmetic; not guaranteed bound
101.6,60,0.02,0.5,0.25,0.16666666666666666,0.02630701333333333,0.05525584444444444,27.627922222222217,0.01381396111111111,conditional arithmetic; not guaranteed bound
101.6,60,0.02,1,0.5,0.3333333333333333,0.02630701333333333,0.05525584444444444,55.255844444444435,0.05525584444444444,conditional arithmetic; not guaranteed bound
101.6,60,0.02,1.5,0.75,0.5,0.02630701333333333,0.05525584444444444,82.88376666666666,0.12432564999999998,conditional arithmetic; not guaranteed bound
101.6,60,0.02,2,1.0,0.6666666666666666,0.02630701333333333,0.05525584444444444,110.51168888888887,0.22102337777777775,conditional arithmetic; not guaranteed bound
101.6,85,0,0.5,0.25,0.16666666666666666,0.02854056333333333,0.023783802777777772,11.891901388888886,0.005945950694444443,conditional arithmetic; not guaranteed bound
