start_V,assumed_net_capacitor_current_A,assumed_duration_us,assumed_effective_capacitance_uF,conditional_peak_V
5.0,1.0,0.1,2.9123550000000002,5.034336473403826
5.0,1.0,0.5,2.9123550000000002,5.17168236701913
5.0,1.0,1.2,2.9123550000000002,5.412037680845914
5.0,1.0,2.0,2.9123550000000002,5.686729468076522
5.0,1.0,5.0,2.9123550000000002,6.716823670191306
5.0,2.2,0.1,2.9123550000000002,5.075540241488418
5.0,2.2,0.5,2.9123550000000002,5.377701207442088
5.0,2.2,1.2,2.9123550000000002,5.906482897861009
5.0,2.2,2.0,2.9123550000000002,6.5108048297683485
5.0,2.2,5.0,2.9123550000000002,8.777012074420872
5.0,5.0,0.1,2.9123550000000002,5.17168236701913
5.0,5.0,0.5,2.9123550000000002,5.858411835095652
5.0,5.0,1.2,2.9123550000000002,7.060188404229567
5.0,5.0,2.0,2.9123550000000002,8.433647340382612
5.0,5.0,5.0,2.9123550000000002,13.584118350956528
5.25,1.0,0.1,2.9123550000000002,5.284336473403826
5.25,1.0,0.5,2.9123550000000002,5.42168236701913
5.25,1.0,1.2,2.9123550000000002,5.662037680845914
5.25,1.0,2.0,2.9123550000000002,5.936729468076522
5.25,1.0,5.0,2.9123550000000002,6.966823670191306
5.25,2.2,0.1,2.9123550000000002,5.325540241488418
5.25,2.2,0.5,2.9123550000000002,5.627701207442088
5.25,2.2,1.2,2.9123550000000002,6.156482897861009
5.25,2.2,2.0,2.9123550000000002,6.7608048297683485
5.25,2.2,5.0,2.9123550000000002,9.027012074420872
5.25,5.0,0.1,2.9123550000000002,5.42168236701913
5.25,5.0,0.5,2.9123550000000002,6.108411835095652
5.25,5.0,1.2,2.9123550000000002,7.310188404229567
5.25,5.0,2.0,2.9123550000000002,8.683647340382612
5.25,5.0,5.0,2.9123550000000002,13.834118350956528
5.489549936726078,1.0,0.1,2.9123550000000002,5.523886410129904
5.489549936726078,1.0,0.5,2.9123550000000002,5.661232303745209
5.489549936726078,1.0,1.2,2.9123550000000002,5.901587617571992
5.489549936726078,1.0,2.0,2.9123550000000002,6.1762794048026
5.489549936726078,1.0,5.0,2.9123550000000002,7.206373606917384
5.489549936726078,2.2,0.1,2.9123550000000002,5.565090178214496
5.489549936726078,2.2,0.5,2.9123550000000002,5.867251144168166
5.489549936726078,2.2,1.2,2.9123550000000002,6.396032834587087
5.489549936726078,2.2,2.0,2.9123550000000002,7.000354766494427
5.489549936726078,2.2,5.0,2.9123550000000002,9.26656201114695
5.489549936726078,5.0,0.1,2.9123550000000002,5.661232303745209
5.489549936726078,5.0,0.5,2.9123550000000002,6.347961771821731
5.489549936726078,5.0,1.2,2.9123550000000002,7.5497383409556456
5.489549936726078,5.0,2.0,2.9123550000000002,8.92319727710869
5.489549936726078,5.0,5.0,2.9123550000000002,14.073668287682606
