event,toolpath_z_mm,section_z_mm,boundary_pixels,boundary_pixels_beyond_0_5mm_path_margin,uncovered_boundary_percent,candidate_xy_bounds_mm
1,0.2,0.1,408,0,0.0,
2,0.4,0.3,408,0,0.0,
4,0.6,0.5,408,0,0.0,
6,0.8,0.7,408,0,0.0,
7,1.0,0.9,408,0,0.0,
9,1.2,1.1,408,0,0.0,
11,1.4,1.3,408,0,0.0,
13,1.6,1.5,408,0,0.0,
14,1.8,1.7,408,0,0.0,
16,2.0,1.9,408,0,0.0,
18,2.2,2.1,328,0,0.0,
19,2.4,2.3,328,0,0.0,
20,2.6,2.5,328,0,0.0,
21,2.8,2.7,288,0,0.0,
22,3.0,2.9,288,0,0.0,
23,3.2,3.1,288,0,0.0,
24,3.4,3.3,288,0,0.0,
25,3.6,3.5,288,0,0.0,
26,3.8,3.7,288,0,0.0,
27,4.0,3.9,288,0,0.0,
28,4.2,4.1,288,0,0.0,
29,4.4,4.3,288,0,0.0,
