event,toolpath_z_mm,section_z_mm,boundary_pixels,boundary_pixels_beyond_0_5mm_path_margin,uncovered_boundary_percent,candidate_xy_bounds_mm
1,0.2,0.1,360,0,0.0,
2,0.4,0.3,360,0,0.0,
3,0.6,0.5,360,0,0.0,
4,0.8,0.7,360,0,0.0,
5,1.0,0.9,360,0,0.0,
6,1.2,1.1,360,0,0.0,
7,1.4,1.3,360,0,0.0,
8,1.6,1.5,360,0,0.0,
9,1.8,1.7,360,0,0.0,
10,2.0,1.9,360,0,0.0,
11,2.2,2.1,502,0,0.0,
12,2.4,2.3,502,0,0.0,
13,2.6,2.5,502,0,0.0,
15,2.8,2.7,502,0,0.0,
17,3.0,2.9,502,0,0.0,
19,3.2,3.1,502,0,0.0,
20,3.4,3.3,502,0,0.0,
22,3.6,3.5,502,0,0.0,
24,3.8,3.7,502,0,0.0,
26,4.0,3.9,410,0,0.0,
27,4.2,4.1,410,0,0.0,
28,4.4,4.3,410,0,0.0,
29,4.6,4.5,410,0,0.0,
31,4.8,4.7,410,0,0.0,
33,5.0,4.9,446,0,0.0,
34,5.2,5.1,446,0,0.0,
36,5.4,5.3,446,0,0.0,
38,5.6,5.5,446,0,0.0,
39,5.8,5.7,446,0,0.0,
40,6.0,5.9,446,0,0.0,
42,6.2,6.1,446,0,0.0,
44,6.4,6.3,446,0,0.0,
45,6.6,6.5,446,0,0.0,
47,6.8,6.7,446,0,0.0,
49,7.0,6.9,354,0,0.0,
50,7.2,7.1,354,0,0.0,
51,7.4,7.3,354,0,0.0,
53,7.6,7.5,354,0,0.0,
55,7.8,7.7,354,0,0.0,
56,8.0,7.9,354,0,0.0,
58,8.2,8.1,470,0,0.0,
60,8.4,8.3,470,0,0.0,
61,8.6,8.5,470,0,0.0,
62,8.8,8.7,470,0,0.0,
64,9.0,8.9,470,0,0.0,
66,9.2,9.1,470,0,0.0,
67,9.4,9.3,470,0,0.0,
69,9.6,9.5,470,0,0.0,
71,9.8,9.7,470,0,0.0,
72,10.0,9.9,470,0,0.0,
73,10.2,10.1,470,0,0.0,
74,10.4,10.3,562,0,0.0,
75,10.6,10.5,562,0,0.0,
76,10.8,10.7,562,0,0.0,
77,11.0,10.9,562,0,0.0,
78,11.2,11.1,562,0,0.0,
79,11.4,11.3,562,0,0.0,
80,11.6,11.5,562,0,0.0,
81,11.8,11.7,562,0,0.0,
82,12.0,11.9,562,0,0.0,
83,12.2,12.1,562,0,0.0,
